county,state,household_income,total_population,total_white_population
colquitt county,GA,16219,45800,28372
columbia county,AR,7768,22947,14143
columbia county,FL,25728,69265,51038
columbia county,GA,47597,154274,109528
columbia county,NY,25167,61587,53590
columbia county,OR,19933,52381,46948
columbia county,PA,25717,65013,61219
columbia county,WA,1849,3969,3367
columbia county,WI,24016,58219,54311
columbiana county,OH,41313,102331,96219
columbus county,NC,19230,51474,31341
colusa county,CA,7303,21780,14975
comal county,TX,60714,156257,131343
comanche county,KS,844,1809,1767
comanche county,OK,44138,121502,73165
comanche county,TX,5138,13540,10860
comerío municipio,PR,5274,18990,11352
concho county,TX,803,3181,2721
concordia parish,LA,6273,18989,10814
conecuh county,AL,4187,11778,5901
conejos county,CO,3097,7579,5651
contra costa county,CA,405106,1161643,580523
converse county,WY,5636,13702,13080
conway county,AR,8460,20687,17445
cook county,GA,6056,17188,11505
cook county,IL,2044658,5265398,2740032
cook county,MN,2499,5574,4768
cooke county,TX,16106,41215,35585
cooper county,MO,6091,17397,15341
coos county,NH,13592,31360,29941
coos county,OR,27627,64619,56669
coosa county,AL,3824,10442,6911
copiah county,MS,9711,28453,12557
copper river census area,AK,946,2635,1535
corozal municipio,PR,10614,34631,20748
corson county,SD,1070,3965,1074
cortland county,NY,18260,46984,43676
coryell county,TX,23954,81692,54981
coshocton county,OH,14517,36621,35176
costilla county,CO,1446,3517,2453
cottle county,TX,654,1560,1144
cotton county,OK,2001,5603,4445
cottonwood county,MN,4666,11484,9976
covington county,AL,14296,37490,31511
covington county,MS,6831,18491,11412
covington city,VA,2547,5716,4673
coweta county,GA,53405,144928,107932
cowley county,KS,13017,34769,29561
cowlitz county,WA,42776,109457,94877
craig county,OK,5197,14172,8955
craig county,VA,1941,4914,4725
craighead county,AR,41865,109875,84033
crane county,TX,1614,4654,2292
craven county,NC,40420,101405,70415
crawford county,AR,22748,60483,52961
crawford county,GA,4283,12159,9072
crawford county,IL,7512,18825,17322
crawford county,IN,4186,10511,10044
crawford county,IA,6159,16555,13072
crawford county,KS,15512,39018,35438
crawford county,MI,5705,13102,12361
crawford county,MO,9272,23204,22025
crawford county,OH,18028,41939,40145
crawford county,PA,33225,84495,80158
crawford county,WI,6508,16167,15279
creek county,OK,27031,71879,55442
crenshaw county,AL,4653,13300,9392
crisp county,GA,7651,20524,10702
crittenden county,AR,18561,48338,20281
crittenden county,KY,3452,8997,8631
crockett county,TN,5387,14012,10635
crockett county,TX,1297,2939,1391
crook county,OR,9951,24300,22342
crook county,WY,2822,7185,6819
crosby county,TX,1934,5265,4076
cross county,AR,6390,16935,12351
crow wing county,MN,27539,65879,62661
crowley county,CO,1340,6018,4528
culberson county,TX,634,2209,1588
culebra municipio,PR,489,1293,453
cullman county,AL,32939,87129,80852
culpeper county,VA,17692,52021,37553
cumberland county,IL,4126,10528,10148
cumberland county,KY,2451,6023,5519
cumberland county,ME,125986,300776,270232
cumberland county,NJ,51873,154921,94672
cumberland county,NC,125158,333582,155577
cumberland county,PA,102532,257333,221002
cumberland county,TN,26523,60568,58311
cumberland county,VA,3990,9669,6152
cuming county,NE,3704,9035,8165
currituck county,NC,10702,27575,24151
curry county,NM,18285,48716,30481
curry county,OR,10788,23234,20790
custer county,CO,2124,4720,4470
custer county,ID,1716,4273,3803
custer county,MT,4872,11968,11063
custer county,NE,4508,10625,10138
custer county,OK,10882,28564,21641
custer county,SD,3626,8360,7641
cuyahoga county,OH,551267,1263667,766091
dade county,GA,6142,16313,15370
dade county,MO,2992,7584,7132
daggett county,UT,197,564,521
dakota county,MN,166790,435863,346508
dakota county,NE,7221,21284,11877
dale county,AL,19470,49443,34987
dallam county,TX,2367,7135,5645
dallas county,AL,14385,39162,10543
dallas county,AR,2326,6645,3557
dallas county,IA,37970,96604,83711
dallas county,MO,6512,16946,16277
dallas county,TX,947046,2604722,1348117
dane county,WI,236036,555474,453311
daniels county,MT,784,1739,1617
danville city,VA,18590,42556,18450
dare county,NC,15832,36718,32629
darke county,OH,20826,51839,50105
darlington county,SC,25239,63433,35329
dauphin county,PA,115703,284199,192382
davidson county,NC,66986,168002,139941
davidson county,TN,293859,708490,432984
davie county,NC,16319,42543,36940
daviess county,IN,11621,33281,31164
daviess county,KY,40603,102488,90642
daviess county,MO,3005,8427,8134
davis county,IA,3150,9066,8701
davis county,UT,109899,358831,316548
davison county,SD,8485,19944,18365
dawes county,NE,3384,8383,7288
dawson county,GA,9776,26202,24597
dawson county,MT,3893,9003,8559
dawson county,NE,8799,24031,18265
dawson county,TX,4214,12371,7860
day county,SD,2303,5487,4724
de baca county,NM,580,1873,916
de soto parish,LA,10168,26803,16381
de witt county,IL,6635,15653,15007
dekalb county,AL,25601,71554,59870
dekalb county,GA,286068,758634,247606
dekalb county,IL,38931,100922,81826
dekalb county,IN,16832,43059,41360
dekalb county,MO,3772,11639,10208
dekalb county,TN,8023,19875,18132
desoto county,FL,12207,34027,26706
desoto county,MS,67024,183220,115546
dewitt county,TX,6610,19834,12364
deaf smith county,TX,6064,18675,14279
dearborn county,IN,19499,50494,48782
decatur county,GA,10242,29020,15008
decatur county,IN,10176,26466,25256
decatur county,IA,3053,7718,7228
decatur county,KS,1304,2792,2686
decatur county,TN,4375,11460,10578
deer lodge county,MT,4161,9380,8618
defiance county,OH,15075,38329,34266
del norte county,CA,9531,27655,19184
delaware county,IN,45602,112480,98639
delaware county,IA,6944,17508,16905
delaware county,NY,18487,44644,41700
delaware county,OH,76549,211121,178326
delaware county,OK,16342,40688,25966
delaware county,PA,214252,573883,382352
delta county,CO,12143,31133,28539
delta county,MI,15695,36836,33791
delta county,TX,2057,5251,4392
denali borough,AK,531,2187,1748
dent county,MO,5923,14585,13599
denton county,TX,321447,885012,603389
denver county,CO,313926,706799,486538
des moines county,IA,17042,39069,34743
deschutes county,OR,79329,194964,177447
desha county,AR,4721,11530,5632
deuel county,NE,773,1878,1712
deuel county,SD,1794,4283,4190
dewey county,OK,1503,4548,3865
dewey county,SD,1650,5343,997
dickens county,TX,635,1569,1314
dickenson county,VA,5573,14256,13966
dickey county,ND,1945,5013,4775
dickinson county,IA,8096,17536,16728
dickinson county,KS,7719,18572,17223
dickinson county,MI,11394,25954,24600
dickson county,TN,19663,54000,49262
dillingham census area,AK,1372,4899,793
